id,name,address,status,district,capacity,capacityDisplay,price,priceDisplay,hourlyRate,hours,phone,email,website,mapUrl,gallery,virtualTour,notes,lat,lng
huone-cloud,HUONE Clarke Quay - Cloud Room,3D River Valley Rd,,clarke-quay,,—,1435,"S$1,435",,08:30-18:00 (Mon-Fri) or extended by arrangement,+65 6255 4793,info.sg@huone.events,https://www.huone.events/sg/meeting-rooms/clarke-quay/,https://maps.google.com/?q=HUONE+Clarke+Quay,,,,1.2900576,103.8454537
huone-cottage,HUONE Clarke Quay - Cottage Room,"3D River Valley Road, #03-01, Clarke Quay, Singapore 179023",,clarke-quay,,—,1435,"S$1,435",180,Mon-Fri: 8:00 AM - 10:00 PM,+65 6255 4793,info.sg@huone.events,https://www.huone.events/sg/meeting-room/cottage-room/,https://maps.google.com/?q=HUONE+Clarke+Quay+Singapore,,,,1.2901,103.8455
huone-nest,HUONE Clarke Quay - Nest Room,"3D River Valley Road, #03-01, Clarke Quay, Singapore 179023",pass,clarke-quay,15,15 pax,1640,"S$1,640",205,Mon-Fri: 8:00 AM - 10:00 PM,+65 6255 4793,info.sg@huone.events,https://www.huone.events/sg/meeting-room/igloo-room/,https://maps.google.com/?q=HUONE+Clarke+Quay+Singapore,,,Pass - bit small,1.2901,103.8455
huone-time,HUONE Clarke Quay - Time Room,"3D River Valley Road, #03-01, Singapore 179023",,clarke-quay,25,25 pax,4100,"S$4,100",512,Mon-Fri: 8:00 AM - 10:00 PM,+65 6255 4793,info.sg@huone.events,https://www.huone.events,https://maps.google.com/?q=HUONE+Clarke+Quay,,,,1.2901,103.8455
queserser,Queserser Event Space,1 Upper Circular Rd #05-01,,clarke-quay,,—,,Contact,,By appointment (generally 09:00-18:00),+65 6444 1735,,Website under revamp,https://maps.google.com/?q=Queserser+1+Upper+Circular+Rd,,,,1.2883093,103.8485589
carlton,Carlton Hotel Singapore,76 Bras Basah Rd,waiting,city-hall,,Various,21000,"S$21,000",,24/7 Hotel (meeting venues typically 9:00-17:00),+65 6311 8425,banquet@carltonhotel.sg,https://www.carltonhotel.sg/meetings-events,https://maps.google.com/?q=Carlton+Hotel+Singapore,,,,1.2961064,103.852572
grand-park-coleman,Grand Park City Hall - Coleman Meeting Room,"10 Coleman Street, Singapore 179809",emailed,city-hall,,—,8000,"S$8,000",,Daily: 8:00 AM - 10:00 PM,+65 6336 3456,info.gpch@parkhotelgroup.com,https://www.parkhotelgroup.com/grand-park-city-hall/events-celebrations/meetings,https://maps.google.com/?q=Grand+Park+City+Hall+Singapore,,,,1.2926954,103.8502785
grand-park-tablescape,Grand Park City Hall - Tablescape Dining Room,10 Coleman St,emailed,city-hall,,—,8000,"S$8,000",,24/7 Hotel (meeting venues by booking),+65 6336 3456,info.gpch@parkhotelgroup.com,https://www.parkhotelgroup.com/grand-park-city-hall,https://maps.google.com/?q=Grand+Park+City+Hall+Singapore,,,,1.2926954,103.8502785
capitol-kempinski,The Capitol Kempinski Hotel,15 Stamford Rd,emailed,city-hall,20,20 pax,,Contact,,24/7 Hotel (events by arrangement),+65 6368 8888,reservation.singapore@kempinski.com,https://www.kempinski.com/en/the-capitol-singapore/meetings-events,https://maps.google.com/?q=Capitol+Kempinski+Hotel+Singapore,,,,1.2925042,103.8537716
raffles-city-cc,Raffles City Convention Centre,80 Bras Basah Rd,emailed,city-hall,,—,11250,"S$11,250",,24/7 for confirmed events (hotel support 07:00-23:00 daily),+65 6431 5560,conventions.singapore@fairmont.com,https://www.fairmont-singapore.com/meetings-events/,https://maps.google.com/?q=Raffles+City+Convention+Centre,,,,1.2941133,103.8539484
