Venue Name,Address,Price,Capacity,Phone,Email,Operating Hours,Google Maps,Website
HUONE Clarke Quay - Warehouse Room,"3D River Valley Road, #03-01, Clarke Quay, Singapore 179023",From S$150/hr,15-40 pax,"+65 6255 4793 / +65 8188 4793",info.sg@huone.events,"Mon-Fri: 8:00 AM - 10:00 PM | Sat-Sun: By arrangement",https://maps.google.com/?q=HUONE+Clarke+Quay+Singapore,https://www.huone.events/sg/meeting-room/warehouse-room/
HUONE Clarke Quay - Igloo Room,"3D River Valley Road, #03-01, Clarke Quay, Singapore 179023",From S$90/hr,5-15 pax,+65 6255 4793,info.sg@huone.events,"Mon-Fri: 8:00 AM - 10:00 PM",https://maps.google.com/?q=HUONE+Clarke+Quay+Singapore,https://www.huone.events/sg/meeting-room/igloo-room/
HUONE Clarke Quay - Cottage Room,"3D River Valley Road, #03-01, Clarke Quay, Singapore 179023",From S$120/hr,13-30 pax,+65 6255 4793,info.sg@huone.events,"Mon-Fri: 8:00 AM - 10:00 PM",https://maps.google.com/?q=HUONE+Clarke+Quay+Singapore,https://www.huone.events/sg/meeting-room/cottage-room/
Grand Park City Hall - Coleman Meeting Room,"10 Coleman Street, Singapore 179809",From S$600/session,18-24 pax,+65 6336 3456,info.gpch@parkhotelgroup.com,"Daily: 8:00 AM - 10:00 PM",https://maps.google.com/?q=Grand+Park+City+Hall+Singapore,https://www.parkhotelgroup.com/grand-park-city-hall/events-celebrations/meetings
Raffles Hotel Singapore - Casuarina Suite,"1 Beach Road, Singapore 189673",Contact for pricing,55 U-shape / 95 classroom,+65 6337 1886,singapore@raffles.com,24/7 (Hotel property),https://maps.google.com/?q=Raffles+Hotel+Singapore,https://www.raffles.com/singapore
Raffles Hotel Singapore - East India Room,"1 Beach Road, Singapore 189673",Contact for pricing,50 U-shape / 80 classroom,+65 6337 1886,singapore@raffles.com,24/7 (Hotel property),https://maps.google.com/?q=Raffles+Hotel+Singapore,https://www.raffles.com/singapore
The Hive North Bridge Road,"36 North Bridge Road, City Hall, Singapore",From S$100/hr,14-16 pax,+65 6817 3277,singapore@thehive.com,"Mon-Fri: 9:00 AM - 6:00 PM",https://maps.google.com/?q=The+Hive+North+Bridge+Road+Singapore,https://www.tagvenue.com/sg/rooms/singapore/48249/the-hive-north-bridge-road/14-pax-meeting-room
N9 Offices - Training Room (Tanjong Pagar),"7 Wallich Street, Tanjong Pagar, Singapore",From S$80/hr,Up to 30 pax,+65 8555 6147,Via Tagvenue platform,"Mon-Fri: 9:00 AM - 6:00 PM | Sat: 9:00 AM - 3:00 PM",https://maps.google.com/?q=N9+Offices+Tanjong+Pagar+Singapore,https://www.tagvenue.com/sg/rooms/singapore/55371/n9-offices-tanjong-pagar/training-room
National Gallery Singapore - Seminar Rooms,"1 St Andrew's Road, Singapore 178957",Contact for pricing,15-28 pax,+65 6271 0213,Submit enquiry form,"Daily: 10:00 AM - 7:00 PM",https://maps.google.com/?q=National+Gallery+Singapore,https://www.nationalgallery.sg/sg/en/about/venue-rental/seminar-rooms.html
The Executive Centre - Marina Bay Financial Centre,"8 Marina Boulevard, Tower 1, Singapore 018981",From S$80/hr,Up to 20 pax,+852 2168 0838,Contact form,"Mon-Fri: 9:00 AM - 6:00 PM",https://maps.google.com/?q=Marina+Bay+Financial+Centre+Singapore,https://www.executivecentre.com/locations/singapore-city/meeting-conference-rooms-in-singapore/
The Executive Centre - One Raffles Quay,"1 Raffles Quay, North Tower, Singapore 048583",From S$80/hr,Up to 16 pax,+852 2168 0838,Contact form,"Mon-Fri: 9:00 AM - 6:00 PM",https://maps.google.com/?q=One+Raffles+Quay+Singapore,https://www.executivecentre.com/office-space/one-raffles-quay/
Spaces City Hall,"410 North Bridge Road, Singapore 188726",From S$64/hr,4-7 pax boardroom,+91 33 6136 3847,Via website booking,"Mon-Fri: 8:30 AM - 5:00 PM",https://maps.google.com/?q=410+North+Bridge+Road+Singapore,https://www.spacesworks.com/singapore/city-hall/meeting-rooms/
WeWork 71 Robinson Road,"71 Robinson Road, Singapore 068895",Contact for pricing,Various sizes,+65 6816 5500,Via website,24/7 for members,https://maps.google.com/?q=71+Robinson+Road+Singapore,https://www.wework.com/buildings/71-robinson-rd--singapore
JustCo Central Plaza,"Central Plaza, Singapore CBD",From S$20/30min,Various sizes,+65 6225 9688,Via website,24/7,https://maps.google.com/?q=JustCo+Central+Plaza+Singapore,https://www.justcoglobal.com/sg/solutions/meeting-rooms/
RNN Conference Centre - CES Centre,"171 Chin Swee Road, CES Centre, Singapore",Contact for pricing,15-300 pax,+65 9796 8716,info@rnn.com.sg,"Mon-Fri: 9:00 AM - 6:00 PM",https://maps.google.com/?q=171+Chin+Swee+Road+Singapore,https://rnn.com.sg/room-rental/
RNN Conference Centre - GB Building,"143 Cecil Street, GB Building, Singapore",Contact for pricing,15-100 pax,+65 9796 8716,info@rnn.com.sg,"Mon-Fri: 9:00 AM - 6:00 PM",https://maps.google.com/?q=143+Cecil+Street+Singapore,https://rnn.com.sg/room-rental/
Lionsworld Business Centre,"111 North Bridge Road, Peninsula Plaza, Singapore",From S$50/hr,Up to 20 pax,+65 6338 0090,Via Tagvenue,"Mon-Fri: 9:00 AM - 6:00 PM",https://maps.google.com/?q=111+North+Bridge+Road+Singapore,https://www.tagvenue.com/sg/rooms/singapore/27576/lionsworld-business-centre/conference-room
Regus Singapore CBD,"Various CBD locations, Singapore",From S$228/day office,Various sizes,+44 800 279 7131,Via website,"Mon-Fri: 8:30 AM - 6:00 PM",https://maps.google.com/?q=Regus+Singapore+CBD,https://www.regus.com/en-us/singapore/coworking
VenueSquare Cecil Building,"137 Cecil Street, #04-01, Singapore 069537",Contact for pricing,Up to 20 pax,+65 8829 8322,sales@rnn.com.sg,"Mon-Fri: 9:00 AM - 6:00 PM",https://maps.google.com/?q=137+Cecil+Street+Singapore,https://www.venuesquare.com/meeting-room-rental-singapore/
MIT Space Premium City Hall,"111 North Bridge Road, Peninsular Plaza #06-34, Singapore",From S$60/hr,Up to 20 pax,Via Tagvenue,Via Tagvenue platform,"Mon-Fri: 9:00 AM - 6:00 PM",https://maps.google.com/?q=111+North+Bridge+Road+Peninsular+Plaza+Singapore,https://www.tagvenue.com/sg/rooms/singapore/84305/main-office-mit-space-premium-city-hall/mit-universe
Grand Park City Hall - Tablescape Dining Room,10 Coleman St,~S$2010 total (package),15 pax,+65 6336 3456,info.gpch@parkhotelgroup.com,"24/7 Hotel (meeting venues by booking)",https://maps.google.com/?q=Grand+Park+City+Hall+Singapore,https://www.parkhotelgroup.com/grand-park-city-hall
Carlton Hotel Singapore,76 Bras Basah Rd,"S$130++/person (full-day package, 9am-5pm incl. lunch)",Multiple function rooms,+65 6311 8425,banquet@carltonhotel.sg,"24/7 Hotel (meeting venues typically 9:00-17:00)",https://maps.google.com/?q=Carlton+Hotel+Singapore,https://www.carltonhotel.sg/meetings-events
HUONE Clarke Quay - Cloud Room,3D River Valley Rd,"From S$609++ half-day (incl. teabreak & lunch for 7 pax)",Up to 20 pax,+65 6255 4793,info.sg@huone.events,"08:30-18:00 (Mon-Fri) or extended by arrangement",https://maps.google.com/?q=HUONE+Clarke+Quay,https://www.huone.events/sg/meeting-rooms/clarke-quay/
